iter,layer,entropy_nats,uniform_nats,max_logit,heads_sampled
64000,0,6.20489,7.32079,15.5751,4
64000,1,4.06272,7.32079,21.9838,4
64000,2,4.0689,7.32079,21.6675,4
64000,3,3.62486,7.32079,21.3443,4
64000,4,3.32132,7.32079,22.9038,4
64000,5,3.8103,7.32079,19.3395,4
64000,6,3.33667,7.32079,27.6478,4
64000,7,3.20391,7.32079,23.7994,4
64000,8,3.10367,7.32079,23.9166,4
64000,9,2.84054,7.32079,24.651,4
64000,10,2.39889,7.32079,26.8715,4
64000,11,3.53096,7.32079,23.2505,4
64000,12,2.75785,7.32079,26.094,4
64000,13,2.49953,7.32079,23.6421,4
64000,14,2.7332,7.32079,23.7509,4
64000,15,2.71528,7.32079,26.7055,4
64000,16,3.02632,7.32079,22.1772,4
64000,17,2.99419,7.32079,26.1535,4
64000,18,2.97352,7.32079,25.3777,4
64000,19,2.9294,7.32079,28.6556,4
64000,20,2.50391,7.32079,25.7565,4
64000,21,3.27746,7.32079,27.7284,4
64000,22,3.13135,7.32079,28.1859,4
64000,23,3.0623,7.32079,23.2098,4
64000,24,2.89523,7.32079,25.828,4
64000,25,3.09184,7.32079,28.3829,4
64000,26,2.59593,7.32079,26.2605,4
64000,27,2.57235,7.32079,27.102,4
64000,28,2.43957,7.32079,23.975,4
64000,29,3.03956,7.32079,23.777,4
64000,30,2.35708,7.32079,24.6196,4
64000,31,2.14137,7.32079,24.2939,4
64000,32,2.12086,7.32079,27.0413,4
64000,33,2.30058,7.32079,24.9082,4
64000,34,2.05564,7.32079,26.1983,4
64000,35,2.21262,7.32079,26.6618,4
64000,36,2.38132,7.32079,25.9943,4
64000,37,2.50893,7.32079,20.6445,4
64000,38,1.94215,7.32079,24.1226,4
64000,39,2.64735,7.32079,22.4495,4
64000,40,2.36263,7.32079,23.3896,4
64000,41,2.4281,7.32079,23.0092,4
64000,42,2.56431,7.32079,20.2956,4
64000,43,2.6659,7.32079,20.1229,4
64000,44,2.60659,7.32079,21.4407,4
64000,45,2.647,7.32079,23.224,4
64000,46,2.49591,7.32079,23.1036,4
64000,47,3.10997,7.32079,22.1927,4
64000,48,2.41965,7.32079,24.4053,4
64000,49,2.72487,7.32079,17.2624,4
64000,50,2.71021,7.32079,22.7285,4
64000,51,2.65158,7.32079,24.6624,4
64000,52,2.73525,7.32079,21.2679,4
64000,53,2.65517,7.32079,23.1848,4
64000,54,2.59662,7.32079,20.2644,4
64000,55,2.8996,7.32079,21.6014,4
64000,56,3.03214,7.32079,23.9706,4
64000,57,2.99096,7.32079,21.9495,4
64000,58,2.88703,7.32079,22.4063,4
64000,59,2.76005,7.32079,20.7701,4
64000,60,3.74741,7.32079,22.0869,4
64000,61,3.87388,7.32079,21.9574,4
64000,62,5.36578,7.32079,16.197,4
64000,63,5.63566,7.32079,12.8421,4
48000,0,6.28631,7.32079,15.8967,4
48000,1,4.04635,7.32079,20.1911,4
48000,2,4.18192,7.32079,21.2822,4
48000,3,3.77008,7.32079,21.4247,4
48000,4,3.38078,7.32079,22.1619,4
48000,5,3.83552,7.32079,19.1347,4
48000,6,3.40015,7.32079,27.4248,4
48000,7,3.46757,7.32079,24.278,4
48000,8,3.27951,7.32079,24.3847,4
48000,9,2.98581,7.32079,23.8566,4
48000,10,2.52824,7.32079,25.714,4
48000,11,3.45586,7.32079,22.2359,4
48000,12,2.78171,7.32079,24.9111,4
48000,13,2.49873,7.32079,22.9147,4
48000,14,2.83274,7.32079,22.9336,4
48000,15,2.76066,7.32079,26.1036,4
48000,16,3.07332,7.32079,20.1689,4
48000,17,3.01508,7.32079,26.2996,4
48000,18,2.86029,7.32079,26.3319,4
48000,19,3.02537,7.32079,27.1385,4
48000,20,2.62791,7.32079,25.0505,4
48000,21,3.23563,7.32079,28.2795,4
48000,22,3.16074,7.32079,28.6048,4
48000,23,3.06167,7.32079,22.2661,4
48000,24,2.89727,7.32079,24.6499,4
48000,25,3.19113,7.32079,26.9727,4
48000,26,2.59202,7.32079,25.8053,4
48000,27,2.49456,7.32079,25.3539,4
48000,28,2.45688,7.32079,23.275,4
48000,29,3.14906,7.32079,24.6243,4
48000,30,2.46056,7.32079,24.3055,4
48000,31,2.23278,7.32079,23.9286,4
48000,32,2.11541,7.32079,25.4741,4
48000,33,2.4572,7.32079,24.4859,4
48000,34,2.09418,7.32079,24.9982,4
48000,35,2.36123,7.32079,25.6785,4
48000,36,2.5458,7.32079,25.5255,4
48000,37,2.68532,7.32079,20.0887,4
48000,38,1.97717,7.32079,23.8498,4
48000,39,2.80304,7.32079,21.6258,4
48000,40,2.50819,7.32079,23.1276,4
48000,41,2.60417,7.32079,22.6167,4
48000,42,2.73647,7.32079,19.4525,4
48000,43,2.83027,7.32079,19.1569,4
48000,44,2.74343,7.32079,21.2465,4
48000,45,2.72729,7.32079,22.2067,4
48000,46,2.61633,7.32079,22.6197,4
48000,47,3.25852,7.32079,22.0322,4
48000,48,2.57255,7.32079,24.0864,4
48000,49,2.75644,7.32079,16.937,4
48000,50,2.88628,7.32079,22.0924,4
48000,51,2.81668,7.32079,22.9961,4
48000,52,2.88227,7.32079,20.7157,4
48000,53,2.83347,7.32079,23.1041,4
48000,54,2.78811,7.32079,20.2466,4
48000,55,3.04343,7.32079,22.0872,4
48000,56,3.05465,7.32079,22.3154,4
48000,57,3.17507,7.32079,21.9259,4
48000,58,2.96583,7.32079,21.3887,4
48000,59,3.0725,7.32079,20.1651,4
48000,60,3.96118,7.32079,20.2389,4
48000,61,3.90634,7.32079,21.3063,4
48000,62,5.54718,7.32079,15.9754,4
48000,63,5.76062,7.32079,12.1806,4
60000,0,6.23197,7.32079,15.2212,4
60000,1,4.00714,7.32079,21.6507,4
60000,2,4.06616,7.32079,21.2301,4
60000,3,3.65558,7.32079,21.3591,4
60000,4,3.41584,7.32079,22.5058,4
60000,5,3.75528,7.32079,19.6344,4
60000,6,3.3052,7.32079,27.352,4
60000,7,3.33172,7.32079,24.9026,4
60000,8,3.16063,7.32079,23.6042,4
60000,9,2.94601,7.32079,24.2808,4
60000,10,2.45083,7.32079,26.9136,4
60000,11,3.49627,7.32079,22.5712,4
60000,12,2.79214,7.32079,26.4485,4
60000,13,2.48031,7.32079,23.8465,4
60000,14,2.74395,7.32079,23.7469,4
60000,15,2.73521,7.32079,26.4454,4
60000,16,3.1247,7.32079,21.321,4
60000,17,3.0293,7.32079,26.6887,4
60000,18,2.99951,7.32079,25.5675,4
60000,19,2.97245,7.32079,28.4239,4
60000,20,2.56023,7.32079,26.1016,4
60000,21,3.26389,7.32079,27.4444,4
60000,22,3.13675,7.32079,28.3695,4
60000,23,3.12225,7.32079,22.1817,4
60000,24,2.88228,7.32079,25.0534,4
60000,25,3.13198,7.32079,27.0553,4
60000,26,2.59942,7.32079,26.2913,4
60000,27,2.58749,7.32079,25.9774,4
60000,28,2.39856,7.32079,24.0951,4
60000,29,3.14291,7.32079,23.2195,4
60000,30,2.41794,7.32079,24.7249,4
60000,31,2.1677,7.32079,24.4506,4
60000,32,2.17349,7.32079,25.6567,4
60000,33,2.36951,7.32079,24.6501,4
60000,34,2.04896,7.32079,26.3247,4
60000,35,2.25657,7.32079,26.0918,4
60000,36,2.43359,7.32079,26.3038,4
60000,37,2.57394,7.32079,20.4669,4
60000,38,1.99441,7.32079,24.2666,4
60000,39,2.69988,7.32079,22.5642,4
60000,40,2.47745,7.32079,23.7078,4
60000,41,2.51193,7.32079,22.6873,4
60000,42,2.70883,7.32079,19.6812,4
60000,43,2.83349,7.32079,20.0197,4
60000,44,2.74976,7.32079,22.1828,4
60000,45,2.76899,7.32079,22.8723,4
60000,46,2.67871,7.32079,22.5512,4
60000,47,3.24346,7.32079,22.1649,4
60000,48,2.54435,7.32079,23.8226,4
60000,49,2.75087,7.32079,18.0485,4
60000,50,2.83955,7.32079,22.3564,4
60000,51,2.76803,7.32079,24.7156,4
60000,52,2.85418,7.32079,21.3661,4
60000,53,2.6928,7.32079,23.5331,4
60000,54,2.85964,7.32079,20.1271,4
60000,55,3.11267,7.32079,21.4967,4
60000,56,3.11782,7.32079,23.8183,4
60000,57,3.19924,7.32079,21.9517,4
60000,58,3.05064,7.32079,21.4945,4
60000,59,3.0547,7.32079,20.8513,4
60000,60,3.92762,7.32079,21.4611,4
60000,61,3.84583,7.32079,21.357,4
60000,62,5.5224,7.32079,16.3209,4
60000,63,5.7089,7.32079,13.4773,4
68000,0,6.1534,7.32079,14.8359,4
68000,1,3.99129,7.32079,22.8244,4
68000,2,4.05,7.32079,21.6826,4
68000,3,3.53702,7.32079,21.9242,4
68000,4,3.13633,7.32079,23.49,4
68000,5,3.72524,7.32079,18.838,4
68000,6,3.2429,7.32079,27.2536,4
68000,7,3.17643,7.32079,24.1355,4
68000,8,3.03356,7.32079,22.7604,4
68000,9,2.9355,7.32079,24.0402,4
68000,10,2.33587,7.32079,26.5985,4
68000,11,3.49273,7.32079,24.4905,4
68000,12,2.76785,7.32079,25.425,4
68000,13,2.21057,7.32079,23.9602,4
68000,14,2.60302,7.32079,23.8564,4
68000,15,2.60634,7.32079,27.6948,4
68000,16,3.03118,7.32079,22.2425,4
68000,17,2.8815,7.32079,26.2392,4
68000,18,2.90791,7.32079,25.4222,4
68000,19,2.79104,7.32079,29.6843,4
68000,20,2.39825,7.32079,26.3247,4
68000,21,3.24084,7.32079,27.9464,4
68000,22,3.06242,7.32079,28.3119,4
68000,23,3.10631,7.32079,22.744,4
68000,24,2.77487,7.32079,26.1481,4
68000,25,3.03887,7.32079,27.9928,4
68000,26,2.53463,7.32079,26.2914,4
68000,27,2.42905,7.32079,28.0996,4
68000,28,2.28121,7.32079,24.6538,4
68000,29,3.10896,7.32079,24.751,4
68000,30,2.42016,7.32079,24.0818,4
68000,31,2.04444,7.32079,24.0008,4
68000,32,2.13337,7.32079,27.2191,4
68000,33,2.26151,7.32079,25.3504,4
68000,34,2.01881,7.32079,25.8784,4
68000,35,2.22675,7.32079,26.2926,4
68000,36,2.54512,7.32079,26.5938,4
68000,37,2.57417,7.32079,20.83,4
68000,38,2.00249,7.32079,24.1036,4
68000,39,2.76644,7.32079,23.2367,4
68000,40,2.41432,7.32079,24.4561,4
68000,41,2.5269,7.32079,22.5605,4
68000,42,2.62084,7.32079,20.2045,4
68000,43,2.8081,7.32079,19.8578,4
68000,44,2.79306,7.32079,22.1685,4
68000,45,2.81231,7.32079,22.9427,4
68000,46,2.5055,7.32079,23.0948,4
68000,47,3.18716,7.32079,22.49,4
68000,48,2.55597,7.32079,23.7545,4
68000,49,2.79396,7.32079,17.4448,4
68000,50,2.75962,7.32079,22.9815,4
68000,51,2.6825,7.32079,26.2912,4
68000,52,2.85234,7.32079,21.7273,4
68000,53,2.75172,7.32079,23.7374,4
68000,54,2.62414,7.32079,19.9141,4
68000,55,2.95515,7.32079,21.8377,4
68000,56,3.01736,7.32079,24.155,4
68000,57,3.14459,7.32079,22.3323,4
68000,58,2.98856,7.32079,23.0218,4
68000,59,2.9007,7.32079,21.3286,4
68000,60,3.66227,7.32079,22.0005,4
68000,61,3.88597,7.32079,21.9883,4
68000,62,5.39678,7.32079,17.1503,4
68000,63,5.70032,7.32079,13.9704,4
72000,0,6.1314,7.32079,15.0536,4
72000,1,4.12082,7.32079,22.5261,4
72000,2,4.07585,7.32079,21.4304,4
72000,3,3.63425,7.32079,21.5836,4
72000,4,3.2265,7.32079,22.8143,4
72000,5,3.72483,7.32079,19.8744,4
72000,6,3.24425,7.32079,28.1414,4
72000,7,3.31977,7.32079,24.3746,4
72000,8,3.10955,7.32079,23.6079,4
72000,9,2.90983,7.32079,25.2317,4
72000,10,2.41246,7.32079,26.8124,4
72000,11,3.53258,7.32079,24.8087,4
72000,12,2.74876,7.32079,25.6654,4
72000,13,2.36788,7.32079,23.636,4
72000,14,2.69925,7.32079,24.426,4
72000,15,2.62379,7.32079,27.0239,4
72000,16,3.08726,7.32079,23.1119,4
72000,17,2.86285,7.32079,27.6568,4
72000,18,2.93117,7.32079,26.1693,4
72000,19,2.8085,7.32079,29.5255,4
72000,20,2.36751,7.32079,26.2407,4
72000,21,3.26471,7.32079,29.1484,4
72000,22,3.10283,7.32079,29.6538,4
72000,23,3.15252,7.32079,23.7917,4
72000,24,2.83529,7.32079,25.9815,4
72000,25,3.09222,7.32079,28.511,4
72000,26,2.56734,7.32079,26.7649,4
72000,27,2.51441,7.32079,28.2604,4
72000,28,2.36844,7.32079,25.312,4
72000,29,3.10055,7.32079,24.1746,4
72000,30,2.44164,7.32079,24.2864,4
72000,31,2.19502,7.32079,24.3475,4
72000,32,2.14719,7.32079,26.9087,4
72000,33,2.35107,7.32079,25.2152,4
72000,34,2.06354,7.32079,26.9173,4
72000,35,2.24407,7.32079,26.0411,4
72000,36,2.53147,7.32079,27.2877,4
72000,37,2.65554,7.32079,20.5856,4
72000,38,2.0453,7.32079,24.2735,4
72000,39,2.79835,7.32079,21.8702,4
72000,40,2.53628,7.32079,24.2463,4
72000,41,2.51159,7.32079,23.228,4
72000,42,2.76773,7.32079,20.6352,4
72000,43,2.98575,7.32079,19.5365,4
72000,44,2.90545,7.32079,21.812,4
72000,45,2.74845,7.32079,23.1352,4
72000,46,2.70809,7.32079,22.3806,4
72000,47,3.37334,7.32079,22.7264,4
72000,48,2.58691,7.32079,23.5366,4
72000,49,2.82877,7.32079,18.364,4
72000,50,2.81178,7.32079,23.2897,4
72000,51,2.77638,7.32079,25.5843,4
72000,52,2.82933,7.32079,21.9751,4
72000,53,2.76512,7.32079,24.1781,4
72000,54,2.76196,7.32079,20.0911,4
72000,55,3.03014,7.32079,22.5354,4
72000,56,3.04698,7.32079,24.5999,4
72000,57,3.19876,7.32079,22.2406,4
72000,58,2.97554,7.32079,23.2346,4
72000,59,3.03438,7.32079,21.9293,4
72000,60,3.87693,7.32079,23.1358,4
72000,61,3.84939,7.32079,22.2853,4
72000,62,5.45425,7.32079,17.8471,4
72000,63,5.62749,7.32079,13.3396,4
75126,0,6.14953,7.32079,14.3898,4
75126,1,4.13039,7.32079,23.0378,4
75126,2,3.97285,7.32079,22.2421,4
75126,3,3.47403,7.32079,23.1389,4
75126,4,3.08098,7.32079,23.6481,4
75126,5,3.67768,7.32079,20.1896,4
75126,6,3.19707,7.32079,27.8116,4
75126,7,3.18261,7.32079,24.6576,4
75126,8,3.06027,7.32079,22.9567,4
75126,9,2.99877,7.32079,24.9271,4
75126,10,2.32039,7.32079,26.3153,4
75126,11,3.66092,7.32079,24.2269,4
75126,12,2.75102,7.32079,26.2219,4
75126,13,2.39109,7.32079,24.4129,4
75126,14,2.69573,7.32079,24.6004,4
75126,15,2.65033,7.32079,27.8718,4
75126,16,3.14986,7.32079,22.9169,4
75126,17,2.99126,7.32079,26.363,4
75126,18,3.03614,7.32079,26.122,4
75126,19,2.87402,7.32079,29.9847,4
75126,20,2.53594,7.32079,26.5163,4
75126,21,3.34933,7.32079,29.729,4
75126,22,3.1372,7.32079,29.0233,4
75126,23,3.21314,7.32079,24.2787,4
75126,24,2.91222,7.32079,27.5918,4
75126,25,3.1684,7.32079,29.1176,4
75126,26,2.71942,7.32079,27.2203,4
75126,27,2.63897,7.32079,29.1618,4
75126,28,2.47682,7.32079,25.5191,4
75126,29,3.22052,7.32079,24.9232,4
75126,30,2.45926,7.32079,24.9513,4
75126,31,2.32548,7.32079,23.533,4
75126,32,2.27359,7.32079,26.6477,4
75126,33,2.27964,7.32079,26.1041,4
75126,34,2.19508,7.32079,27.105,4
