iter,lm_loss,grad_norm
5,13.50014,24.371
10,13.41753,23.797
15,12.82177,26.394
20,12.04938,89.115
25,10.88371,34.139
30,10.30198,47.625
35,9.665105,14.961
40,9.319604,16.027
45,9.024105,14.097
50,8.803625,8.942
55,8.646994,9.885
60,8.488715,22.755
65,8.38062,18.793
70,8.262757,18.475
75,8.156895,12.274
80,8.030209,11.893
85,7.949903,20.568
90,7.854881,15.534
95,7.78644,15.669
100,7.701165,10.075
105,7.638409,12.367
110,7.547733,12.074
115,7.491161,12.904
120,7.404929,12.373
125,7.331335,17.527
130,7.294127,9.96
135,7.208352,9.961
140,7.149902,10.953
145,7.079941,9.748
150,7.018332,8.128
155,6.964142,8.989
160,6.931944,7.553
165,6.876547,8.127
170,6.823296,7.847
175,6.793672,10.402
180,6.778853,11.062
185,6.689776,8.786
190,6.626007,15.403
195,6.623764,7.134
200,6.55135,5.347
205,6.48344,6.102
210,6.434357,5.934
215,6.408078,5.681
220,6.357359,5.978
225,6.314249,5.9
230,6.249992,5.605
235,6.225922,9.575
240,6.204794,4.249
245,6.16288,6.287
250,6.140491,5.436
255,6.099564,5.783
260,6.069461,4.584
265,6.053595,5.076
270,6.006906,5.611
275,5.979594,4.202
280,5.961362,4.816
285,5.937126,4.746
290,5.892251,4.801
295,5.843832,5.397
300,5.84555,4.495
305,5.824161,5.037
310,5.788002,5.3
315,5.760715,3.83
320,5.737962,4.602
325,5.708766,4.46
330,5.676955,6.859
335,5.656908,4.037
340,5.63267,4.95
345,5.599999,4.827
350,5.576741,4.806
355,5.540993,4.005
360,5.501287,4.943
365,5.492172,5.301
370,5.458561,4.218
375,5.422792,5.162
380,5.410546,7.083
385,5.391224,4.108
390,5.357567,3.808
395,5.3341,4.617
400,5.303554,4.437
405,5.290419,4.045
410,5.259153,4.682
415,5.268729,7.301
420,5.25675,4.195
425,5.22913,3.995
430,5.181758,3.893
435,5.155084,5.514
440,5.153913,3.895
445,5.116767,3.733
450,5.103506,4.847
455,5.090171,4.203
460,5.047113,4.613
465,5.040379,3.948
470,5.009701,3.511
475,5.014503,4.06
480,4.984062,3.806
485,4.970634,4.365
490,4.958426,4.113
495,4.93239,3.634
500,4.901764,3.839
505,4.892729,3.717
510,4.867694,4.729
515,4.851858,3.8
520,4.839661,4.259
525,4.825043,3.677
530,4.813818,3.195
535,4.789602,4.981
540,4.782874,3.711
545,4.75321,3.609
550,4.727426,3.963
555,4.728992,2.953
560,4.713934,3.68
565,4.685709,4.055
570,4.671616,4.096
575,4.652386,3.07
580,4.631899,4.888
585,4.617237,4.392
590,4.609929,3.631
595,4.592146,4.392
600,4.577921,3.681
605,4.542634,3.637
610,4.538591,4.204
615,4.520401,3.546
620,4.494916,3.721
625,4.466731,3.677
630,4.454211,3.209
635,4.445837,2.89
640,4.431697,3.158
645,4.419257,3.272
650,4.394458,2.5
655,4.368456,3.482
660,4.362539,2.908
665,4.350153,3.405
670,4.330917,3.508
675,4.311977,3.068
680,4.304356,2.94
685,4.279059,2.738
690,4.272692,3.201
695,4.244247,2.768
700,4.231988,2.797
705,4.213495,3.127
710,4.198806,3.035
715,4.173815,3.113
720,4.16377,2.585
725,4.137577,2.939
730,4.128391,2.24
735,4.125734,2.347
740,4.105376,2.916
745,4.106646,2.443
750,4.067879,2.552
755,4.044748,2.775
760,4.050071,2.324
765,4.011456,2.445
770,3.995166,2.467
775,3.978282,2.068
780,3.956606,2.607
785,3.945605,2.818
790,3.921406,2.373
795,3.919572,2.35
800,3.899325,2.565
805,3.866747,2.002
810,3.851398,2.289
815,3.840196,2.216
820,3.80528,2.113
825,3.788519,2.554
830,3.787099,1.873
835,3.749351,2.466
840,3.745959,2.378
845,3.74611,2.964
850,3.729944,2.46
855,3.708553,2.042
860,3.696407,2.198
865,3.664825,2.2
870,3.635769,1.905
875,3.628963,2.014
880,3.615516,1.847
885,3.598669,1.995
890,3.593637,1.854
895,3.579227,1.947
900,3.575297,1.675
905,3.559859,1.759
910,3.532187,1.714
915,3.530605,2.116
920,3.508929,1.557
925,3.494918,1.87
930,3.502766,2.059
935,3.480687,1.574
940,3.47173,1.542
945,3.450526,1.736
950,3.444382,1.657
955,3.427694,1.744
960,3.42779,1.799
965,3.416512,1.669
970,3.403164,1.431
975,3.391692,1.625
980,3.37111,1.641
985,3.374048,1.318
990,3.365494,1.501
995,3.354994,1.529
1000,3.352626,2.029
1005,3.344984,1.436
1010,3.322832,1.455
1015,3.310596,1.405
1020,3.30168,1.288
1025,3.293134,1.461
1030,3.28759,1.53
1035,3.282058,1.442
1040,3.265799,1.177
1045,3.27066,1.443
1050,3.271642,1.477
1055,3.225347,1.056
1060,3.234844,1.296
1065,3.241422,1.426
1070,3.220311,1.156
1075,3.216484,1.434
1080,3.202217,1.416
1085,3.200238,1.164
1090,3.186983,1.205
1095,3.17732,1.088
1100,3.180286,1.113
1105,3.169268,1.258
1110,3.157828,1.117
1115,3.152142,1.054
1120,3.156845,1.211
1125,3.139198,1.016
1130,3.129959,1.163
1135,3.12556,1.054
1140,3.136172,1.023
1145,3.118742,1.293
1150,3.106726,1.084
1155,3.133083,1.288
1160,3.107618,1.196
1165,3.104834,1.104
1170,3.100635,0.957
1175,3.091456,0.93
1180,3.08418,0.993
1185,3.061993,0.952
1190,3.065132,0.947
1195,3.061941,1.015
1200,3.053197,1.09
1205,3.043766,1.051
1210,3.03749,1.163
1215,3.032286,0.841
1220,3.037127,0.984
1225,3.015819,0.826
1230,3.016221,0.928
1235,3.000608,0.967
1240,3.000039,1.054
1245,3.004251,1.071
1250,2.996699,0.971
1255,3.000265,0.91
1260,2.992317,1.037
1265,2.980903,0.943
1270,2.974133,0.955
1275,2.98078,0.752
1280,2.970266,0.808
1285,2.957605,0.796
1290,2.949375,0.919
1295,2.948711,1.058
1300,2.96188,0.828
1305,2.946936,0.785
1310,2.942213,0.876
1315,2.941115,0.821
1320,2.927962,0.738
1325,2.921113,0.851
1330,2.923146,0.898
1335,2.915505,0.874
1340,2.911495,0.931
1345,2.923913,1.162
1350,2.942101,0.879
1355,2.923359,1.1
1360,2.893255,0.783
1365,2.892389,0.774
1370,2.885172,0.798
1375,2.900092,0.86
1380,2.877404,0.852
1385,2.879648,0.93
1390,2.877791,0.662
1395,2.864624,0.63
1400,2.860187,0.891
1405,2.862773,0.928
1410,2.870208,0.951
1415,2.855827,0.777
1420,2.850439,0.784
1425,2.843233,0.697
1430,2.831801,0.834
1435,2.849972,0.881
1440,2.851415,1.903
1445,2.876507,0.843
1450,2.863087,0.642
1455,2.822914,0.666
1460,2.823201,0.753
1465,2.821465,0.78
1470,2.822395,0.855
1475,2.830092,0.983
1480,2.851976,0.986
1485,2.840412,0.838
1490,2.833068,0.543
1495,2.806858,0.559
1500,2.795196,0.707
1505,2.788522,0.77
1510,2.801003,0.966
1515,2.77991,0.569
1520,2.781474,0.714
1525,2.785575,0.614
1530,2.781016,0.827
1535,2.795749,0.864
1540,2.780991,0.791
1545,2.777413,0.658
1550,2.777508,0.709
1555,2.752426,0.737
1560,2.776843,0.721
1565,2.776833,0.762
1570,2.771737,0.705
1575,2.751714,0.652
1580,2.742415,0.582
1585,2.75393,0.859
1590,2.75858,0.71
1595,2.749692,0.643
1600,2.749487,0.971
