iter,source,mask,weight,n_tokens,mean_loss,pos_1_8,pos_9_32,pos_33_128,pos_129_512,pos_513_2048,pos_2049_inf
72000,hplt-4.0,block,0.195051,32768,1.881285,4.261774,2.299936,1.974823,1.803461,1.831085,2.230282
72000,hplt-4.0,dense,0.195051,32768,1.899615,4.547179,2.380308,2.005549,1.818828,1.842877,2.235693
72000,common-pile-stackv2-0.1,block,0.185481,32768,1.031677,3.057683,1.234915,1.177870,0.894917,0.947902,1.231790
72000,common-pile-stackv2-0.1,dense,0.185481,32768,1.045008,3.442446,1.433512,1.259519,0.906639,0.952660,1.231794
72000,mixture-vitae-1.0,block,0.114685,32768,1.629308,2.725860,1.471336,1.485064,1.788704,1.572801,1.400089
72000,mixture-vitae-1.0,dense,0.114685,32768,1.445647,2.533777,1.162825,1.227380,1.544514,1.431987,1.402474
72000,dclm-1.0,block,0.090498,32768,2.403712,3.883141,2.787895,2.623091,2.388887,2.314935,2.321556
72000,dclm-1.0,dense,0.090498,32768,2.425632,4.135384,2.957770,2.669320,2.408477,2.321550,2.318396
72000,megamath-0.0.0,block,0.084813,32768,1.425533,3.793053,1.914117,1.443048,1.484470,1.341850,1.195334
72000,megamath-0.0.0,dense,0.084813,32768,1.461347,4.343503,2.161173,1.544257,1.509951,1.348150,1.195485
72000,finephrase-0.0.0,block,0.065006,32768,1.755438,2.810400,1.935274,1.742733,1.708114,1.478006,
72000,finephrase-0.0.0,dense,0.065006,32768,1.795727,2.949343,2.060775,1.779950,1.734923,1.506047,
72000,nemotron-cc-1.0,block,0.047346,32768,2.263627,4.072704,2.772037,2.353658,2.231607,2.248907,1.675320
72000,nemotron-cc-1.0,dense,0.047346,32768,2.281824,4.232575,2.849232,2.381172,2.243568,2.257754,1.695374
72000,nemotron-pretraining-specialized-1.0,block,0.045580,32768,0.679089,2.653373,2.188746,1.174649,0.957680,0.716241,0.551383
72000,nemotron-pretraining-specialized-1.0,dense,0.045580,32768,0.679089,2.653373,2.188746,1.174649,0.957680,0.716241,0.551383
72000,finepdfs-edu-1.0.0,block,0.035575,32768,2.194338,4.523102,2.923970,2.277778,2.106172,2.277207,2.023146
72000,finepdfs-edu-1.0.0,dense,0.035575,32768,2.200081,4.549405,3.008767,2.292232,2.111698,2.282681,2.023159
72000,nemotron-cc-tower+-0.1,block,0.028063,32768,1.977799,4.203127,2.466615,2.057363,1.893072,1.872642,2.835862
72000,nemotron-cc-tower+-0.1,dense,0.028063,32768,1.994997,4.094632,2.546852,2.100572,1.904920,1.882203,2.862839
72000,starcoder-0.0.0,block,0.016797,32768,0.802982,3.487103,1.973072,1.221000,0.779875,0.721555,0.481958
72000,starcoder-0.0.0,dense,0.016797,32768,0.815035,3.724637,2.077392,1.259605,0.785665,0.726538,0.484143
72000,common-pile-stackv2-edu-0.1,block,0.010675,32768,1.585661,4.565410,2.355557,1.762839,1.573890,1.436130,1.544768
72000,common-pile-stackv2-edu-0.1,dense,0.010675,32768,1.598010,4.785795,2.437905,1.781766,1.582325,1.442074,1.548140
72000,finemath-0.0.0,block,0.010499,32768,1.314693,3.493279,1.732633,1.376676,1.275447,1.289263,0.750102
72000,finemath-0.0.0,dense,0.010499,32768,1.367258,4.493931,2.265903,1.459971,1.294444,1.300162,0.748101
72000,dolmino-mix-100b-1125,block,0.010362,32768,0.883692,5.012967,1.772583,0.937195,0.515687,0.361030,0.594959
72000,dolmino-mix-100b-1125,dense,0.010362,32768,0.854021,4.459344,1.703272,0.928047,0.517974,0.362057,0.598165
72000,finepdfs-1.0.0,block,0.009619,32768,1.883094,5.347768,3.022003,2.358812,1.988357,1.933422,1.295913
72000,finepdfs-1.0.0,dense,0.009619,32768,1.893406,5.262636,3.096870,2.402334,2.002240,1.939667,1.297953
72000,swallow-math-2.0,block,0.009344,32768,0.294930,0.724367,1.573828,0.459214,0.236656,0.230569,0.269442
72000,swallow-math-2.0,dense,0.009344,32768,0.328198,0.981820,1.745094,0.529557,0.270871,0.243910,0.269442
72000,nemotron-cc-opus-1.1,block,0.008867,32768,2.612359,5.338092,3.094081,2.672487,2.575126,2.499628,1.922647
72000,nemotron-cc-opus-1.1,dense,0.008867,32768,2.612599,4.737967,3.080404,2.694450,2.583650,2.506967,1.925337
72000,nemotron-mind-0.0,block,0.008820,32768,0.821837,0.584189,1.207807,1.251261,0.778169,0.418504,
