iter,tensor,layer,mean,rms,max,min
63125,linear_qkv,0,0.046506,0.0519346,0.632812,0.00473022
63125,linear_qkv,1,0.33442,0.335379,0.761719,0.045166
63125,linear_qkv,2,0.557186,0.558289,0.683594,0.0291748
63125,linear_qkv,3,0.685645,0.686678,1.02344,0.0361328
63125,linear_qkv,4,0.712944,0.714033,0.960938,0.0405273
63125,linear_qkv,5,0.820293,0.821513,1.09375,0.0639648
63125,linear_qkv,6,0.891661,0.893036,1.15625,0.136719
63125,linear_qkv,7,1.07393,1.07525,1.23438,0.25
63125,linear_qkv,8,1.00996,1.01159,1.33594,0.169922
63125,linear_qkv,9,0.946115,0.947536,1.32031,0.172852
63125,linear_qkv,10,0.958722,0.960021,1.41406,0.208008
63125,linear_qkv,11,1.02483,1.02643,1.39844,0.28125
63125,linear_qkv,12,0.969535,0.970561,1.42969,0.251953
63125,linear_qkv,13,1.01907,1.02031,1.33594,0.265625
63125,linear_qkv,14,0.987538,0.988669,1.21094,0.339844
63125,linear_qkv,15,1.10481,1.10603,1.35938,0.451172
63125,linear_qkv,16,1.12356,1.12449,1.29688,0.5625
63125,linear_qkv,17,1.24451,1.24543,1.51562,0.683594
63125,linear_qkv,18,1.21343,1.21466,1.42969,0.582031
63125,linear_qkv,19,1.32399,1.32499,1.54688,0.660156
63125,linear_qkv,20,1.20077,1.20165,1.45312,0.625
63125,linear_qkv,21,1.20115,1.20191,1.57812,0.6875
63125,linear_qkv,22,1.44786,1.44875,1.63281,0.652344
63125,linear_qkv,23,1.44679,1.44759,1.75,0.710938
63125,linear_qkv,24,1.41409,1.41488,1.75,0.683594
63125,linear_qkv,25,1.33869,1.3397,1.52344,0.498047
63125,linear_qkv,26,1.2819,1.28301,1.60938,0.443359
63125,linear_qkv,27,1.53579,1.53717,1.96875,0.486328
63125,linear_qkv,28,1.40096,1.40276,1.76562,0.359375
63125,linear_qkv,29,1.43388,1.43542,1.79688,0.427734
63125,linear_qkv,30,1.60914,1.61088,1.88281,0.388672
63125,linear_qkv,31,1.25644,1.25785,1.50781,0.241211
63125,linear_qkv,32,1.39137,1.39287,1.64844,0.314453
63125,linear_qkv,33,1.39174,1.39404,1.65625,0.25
63125,linear_qkv,34,1.60008,1.60261,1.875,0.310547
63125,linear_qkv,35,1.47591,1.47778,1.77344,0.269531
63125,linear_qkv,36,1.27032,1.27224,1.45312,0.229492
63125,linear_qkv,37,0.901502,0.902765,1.07812,0.142578
63125,linear_qkv,38,1.18393,1.18503,1.35156,0.269531
63125,linear_qkv,39,0.972908,0.974209,1.13281,0.246094
63125,linear_qkv,40,1.08777,1.08938,1.30469,0.22168
63125,linear_qkv,41,1.02821,1.02984,1.22656,0.219727
63125,linear_qkv,42,0.932088,0.93379,1.125,0.271484
63125,linear_qkv,43,0.978159,0.979847,1.16406,0.298828
63125,linear_qkv,44,1.0542,1.05611,1.26562,0.25
63125,linear_qkv,45,1.16329,1.16509,1.375,0.294922
63125,linear_qkv,46,1.23604,1.23778,1.40625,0.347656
63125,linear_qkv,47,1.06909,1.07069,1.25781,0.433594
63125,linear_qkv,48,1.36925,1.37124,1.57031,0.429688
63125,linear_qkv,49,1.30393,1.30592,1.51562,0.404297
63125,linear_qkv,50,1.23562,1.23739,1.4375,0.431641
63125,linear_qkv,51,1.38577,1.38867,1.58594,0.433594
63125,linear_qkv,52,1.33529,1.33733,1.49219,0.503906
63125,linear_qkv,53,1.51192,1.51544,1.71875,0.339844
63125,linear_qkv,54,1.38198,1.38528,1.61719,0.298828
63125,linear_qkv,55,1.45631,1.45902,1.69531,0.470703
63125,linear_qkv,56,1.50496,1.50828,1.71094,0.382812
63125,linear_qkv,57,1.40318,1.40698,1.64844,0.259766
63125,linear_qkv,58,1.45803,1.46128,1.71875,0.378906
63125,linear_qkv,59,1.30578,1.30917,1.52344,0.249023
63125,linear_qkv,60,1.16596,1.16842,1.38281,0.388672
63125,linear_qkv,61,1.12654,1.12875,1.36719,0.439453
63125,linear_qkv,62,1.02882,1.02963,1.1875,0.671875
63125,linear_qkv,63,0.97675,0.97732,1.14844,0.746094
63125,linear_fc1,0,0.496171,0.499616,0.714844,0.0202637
63125,linear_fc1,1,0.852537,0.855344,0.964844,0.0116577
63125,linear_fc1,2,0.89533,0.896977,1.11719,0.0101929
63125,linear_fc1,3,0.869981,0.87124,0.964844,0.0168457
