iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
48000,0,701271808,1.32028e-06,1.19897e-05,0.027043,2.00466e-09,6.11697e-08,3.56823e-06,1,0.997824,0.640682,0.0730588,0.421388,4.21368
48000,1,187443456,5.66366e-08,2.55383e-07,0.0406305,3.76854e-08,9.27131e-08,5.44988e-07,1,0.999989,0.582228,0.163051,0.490728,5.10985
48000,2,135020032,1.05752e-07,4.60512e-07,0.0396787,1.95023e-08,9.41713e-08,7.53553e-07,1,0.999925,0.539555,0.162965,0.484519,5.31478
48000,3,132398336,1.37731e-07,6.25292e-07,0.0350757,1.46756e-08,7.39597e-08,1.17275e-06,1,0.999859,0.633812,0.163585,0.453473,5.99118
48000,4,335544320,5.86293e-08,2.17451e-07,0.0250262,8.06567e-14,8.37652e-09,4.37819e-08,1,0.999977,0.997377,0.0525989,0.302238,2.71803
60000,0,701271808,1.36101e-06,9.22691e-06,0.0279623,1.87008e-09,5.83375e-08,3.54187e-06,1,0.997792,0.649478,0.0714171,0.418928,4.00337
60000,1,187443456,4.22758e-08,2.10287e-07,0.0425205,3.58884e-08,7.59998e-08,2.94515e-07,1,0.999991,0.837145,0.13168,0.474502,3.93679
60000,2,135020032,6.71775e-08,3.10927e-07,0.0411596,1.40047e-08,7.21441e-08,5.46768e-07,1,0.999948,0.676843,0.121492,0.462801,3.80769
60000,3,132398336,1.425e-07,5.05524e-07,0.0366555,1.18892e-08,5.52773e-08,8.38019e-07,1,0.99993,0.751727,0.103671,0.421946,3.6337
60000,4,335544320,3.80626e-08,2.62215e-07,0.024913,4.71921e-14,8.13997e-09,4.37986e-08,1,0.99998,0.997225,0.0525613,0.299339,2.74444
64000,0,701271808,1.38723e-06,8.73186e-06,0.028154,1.99655e-09,5.97149e-08,3.51456e-06,1,0.997819,0.64771,0.0716177,0.41905,3.98129
64000,1,187443456,2.93105e-08,1.92716e-07,0.04304,3.96787e-08,8.3172e-08,4.12712e-07,1,0.99999,0.734024,0.122166,0.464847,3.60635
64000,2,135020032,4.35019e-08,2.9153e-07,0.0415156,1.5634e-08,7.5172e-08,4.69703e-07,1,0.999945,0.646556,0.116675,0.456749,3.62239
64000,3,132398336,4.01671e-08,3.16347e-07,0.0371462,1.22858e-08,5.1548e-08,5.74961e-07,1,0.999946,0.781131,0.0916425,0.400615,3.16909
64000,4,335544320,7.05931e-09,4.44621e-08,0.0248948,4.26494e-14,8.2486e-09,4.54283e-08,1,0.999998,0.997162,0.0519755,0.297588,2.72046
68000,0,701271808,1.35985e-06,8.97626e-06,0.028322,1.94268e-09,5.79735e-08,3.56457e-06,1,0.997798,0.654645,0.0737653,0.425518,4.07557
68000,1,187443456,4.94504e-08,2.59269e-07,0.0436107,6.11634e-08,1.27802e-07,4.36786e-07,1,0.999988,0.138924,0.148553,0.515463,4.32605
