iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
65500,0,701271808,1.20873e-06,8.41094e-06,0.0282141,1.88056e-09,5.74673e-08,3.52143e-06,1,0.997785,0.656641,0.0725088,0.419072,4.022
65500,1,187443456,2.79278e-08,2.01847e-07,0.0432258,3.93243e-08,8.25339e-08,2.97069e-07,1,0.999991,0.792543,0.136848,0.486723,4.02179
65500,2,135020032,4.41638e-08,2.93005e-07,0.0416837,1.58983e-08,7.23012e-08,3.37163e-07,1,0.999948,0.678404,0.130663,0.472943,4.03887
65500,3,132398336,3.39171e-08,3.41033e-07,0.0373181,1.28965e-08,4.37443e-08,4.05557e-07,1,0.999944,0.844511,0.115308,0.432549,3.96918
65500,4,335544320,9.95604e-09,5.10658e-08,0.0248924,4.16765e-14,8.38297e-09,4.76248e-08,1,0.999998,0.996993,0.0525268,0.302815,2.75127
66625,0,701271808,1.45421e-06,8.98627e-06,0.0282601,1.83649e-09,5.72494e-08,3.49581e-06,1,0.997838,0.657033,0.0723959,0.427663,4.00776
66625,1,187443456,3.77313e-08,2.09285e-07,0.043384,4.58847e-08,9.63937e-08,3.17662e-07,1,0.99999,0.566569,0.135696,0.482685,3.97296
66625,2,135020032,4.61471e-08,3.1798e-07,0.0418392,1.76815e-08,8.47423e-08,3.63261e-07,1,0.999948,0.608626,0.130228,0.472704,4.00923
66625,3,132398336,4.36607e-08,3.61561e-07,0.0374646,1.40882e-08,4.78248e-08,4.03094e-07,1,0.999943,0.814152,0.114961,0.429988,3.94245
66625,4,335544320,7.23796e-09,4.33125e-08,0.0248885,1.56061e-13,8.47688e-09,5.43211e-08,1,0.999999,0.996201,0.0532515,0.304611,2.79092
