iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
64000,0,701271808,1.43423e-06,9.22503e-06,0.0280894,1.95152e-09,5.74238e-08,3.49503e-06,1,0.997862,0.660413,0.0713478,0.419814,3.97331
64000,1,187443456,3.42627e-08,1.93478e-07,0.043048,3.57185e-08,7.52937e-08,2.55828e-07,1,0.999991,0.873742,0.13334,0.474967,3.93648
64000,2,135020032,5.3983e-08,3.01202e-07,0.0416848,1.47992e-08,6.45758e-08,2.87092e-07,1,0.999949,0.770515,0.128704,0.468271,3.97982
64000,3,132398336,3.69832e-08,3.12801e-07,0.0371053,1.13135e-08,3.62068e-08,3.29126e-07,1,0.99995,0.895567,0.111011,0.422709,3.8464
64000,4,335544320,6.71589e-09,3.73438e-08,0.0249013,4.36749e-14,8.32539e-09,4.56453e-08,1,0.999999,0.997053,0.0522066,0.298342,2.73183
68000,0,701271808,1.7248e-06,8.23345e-06,0.0282132,1.89331e-09,5.59335e-08,3.47851e-06,1,0.99792,0.667022,0.0735744,0.424097,4.07568
68000,1,187443456,3.48885e-08,2.30875e-07,0.0435696,4.79839e-08,1.00634e-07,3.51433e-07,1,0.99999,0.488352,0.133998,0.481417,3.90739
68000,2,135020032,6.84455e-08,3.80961e-07,0.0422308,1.91067e-08,8.85079e-08,3.89273e-07,1,0.999947,0.589168,0.129709,0.472952,3.95558
68000,3,132398336,4.10489e-08,4.35954e-07,0.0376363,1.51892e-08,4.92637e-08,4.39589e-07,1,0.999938,0.792957,0.113471,0.431327,3.87765
68000,4,335544320,8.24324e-09,7.06588e-08,0.0249293,6.47345e-14,8.92272e-09,5.74134e-08,1,0.999998,0.995735,0.0541471,0.308344,2.83464
