iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
4000,0,701271808,1.00195e-06,7.83409e-06,0.0197212,1.73463e-09,2.91431e-07,5.41958e-06,1,0.996645,0.272979,0.0565325,0.379324,4.15317
4000,1,187443456,2.35354e-07,2.37251e-06,0.0190184,2.1091e-07,8.62424e-07,7.95603e-06,1,0.994925,0.00146315,0.0740285,0.323143,5.74594
4000,2,135020032,3.36617e-07,3.68272e-06,0.0197043,1.48803e-07,1.14496e-06,1.12686e-05,1,0.985847,0.0025132,0.0764946,0.335786,6.5013
4000,3,132398336,4.71292e-07,4.61549e-06,0.0187524,1.95211e-07,1.95949e-06,1.39804e-05,1,0.974703,9.06356e-08,0.0797998,0.353302,7.56993
4000,4,335544320,1.08762e-07,1.5332e-06,0.0200733,0,5.72735e-08,3.2722e-07,1,0.999452,0.774035,0.0959608,0.446468,5.99191
8000,0,701271808,1.16505e-06,7.25775e-06,0.0197276,1.45229e-09,1.22303e-07,4.47614e-06,1,0.997143,0.439481,0.0651075,0.393839,4.76368
8000,1,187443456,8.42268e-08,8.92851e-07,0.0198712,1.14081e-07,2.79003e-07,1.63236e-06,1,0.999774,0.00593644,0.114576,0.439678,7.98541
8000,2,135020032,1.4775e-07,1.81973e-06,0.0206474,4.8338e-08,2.81191e-07,1.80508e-06,1,0.999603,0.0761961,0.11764,0.450955,8.54851
8000,3,132398336,1.23242e-07,1.05149e-06,0.0198025,8.42711e-08,3.22561e-07,3.19611e-06,1,0.99803,0.0212723,0.110358,0.426269,8.59263
8000,4,335544320,4.19026e-08,3.5645e-07,0.0209061,0,2.55545e-08,1.38058e-07,1,0.999857,0.981995,0.0810658,0.399526,4.86473
12000,0,701271808,1.04438e-06,7.2304e-06,0.0202065,1.60123e-09,9.1328e-08,4.06451e-06,1,0.997507,0.523213,0.0749248,0.429745,5.45404
12000,1,187443456,7.97277e-08,7.06888e-07,0.0236988,7.52205e-08,1.73089e-07,9.67128e-07,1,0.999897,0.0470652,0.145972,0.499447,8.14702
12000,2,135020032,1.26272e-07,1.1795e-06,0.0245705,3.14286e-08,1.77891e-07,1.10638e-06,1,0.999824,0.124067,0.149248,0.506084,8.41948
12000,3,132398336,1.27876e-07,7.38851e-07,0.0231297,5.38529e-08,1.95693e-07,2.70797e-06,1,0.999125,0.235127,0.155836,0.505321,9.39658
12000,4,335544320,6.38223e-08,3.67856e-07,0.022438,0,1.57808e-08,8.72602e-08,1,0.999904,0.991913,0.0692583,0.364148,3.8871
16000,0,701271808,1.4165e-06,7.80574e-06,0.0210196,1.78765e-09,8.22859e-08,3.86747e-06,1,0.997638,0.553037,0.0756007,0.423464,5.42902
16000,1,187443456,1.17834e-07,9.38915e-07,0.0273093,6.50032e-08,1.67738e-07,1.25986e-06,1,0.999924,0.080564,0.174673,0.490469,8.32302
16000,2,135020032,2.18561e-07,2.56727e-06,0.0280786,3.2156e-08,1.9872e-07,2.08027e-06,1,0.999775,0.129665,0.199979,0.489496,9.58996
16000,3,132398336,2.61637e-07,1.45866e-06,0.0258297,4.3289e-08,2.15827e-07,3.92509e-06,1,0.997133,0.187924,0.19263,0.466747,10.0037
16000,4,335544320,1.40579e-07,5.06503e-07,0.0233939,0,1.24384e-08,6.81761e-08,1,0.999839,0.994046,0.0617588,0.340883,3.33902
