iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
44000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,2.8352e-08,1.94733e-07,0.0384818,3.72502e-08,7.86601e-08,3.20094e-07,1,0.999992,0.775334,0.12988,0.469376,4.31322
44000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,3.58634e-08,2.17989e-07,0.0342443,9.41854e-09,4.23611e-08,3.47066e-07,1,0.999975,0.860557,0.106368,0.41811,3.99833
44000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.70998e-08,1.19625e-07,0.0385818,9.37912e-09,4.9595e-08,2.13534e-07,1,0.999993,0.926595,0.123595,0.468548,4.21775
44000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.01373e-08,4.72719e-08,0.0387914,2.16611e-09,4.2146e-08,6.81249e-08,1,0.999999,0.997373,0.121408,0.450214,4.08067
44000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.34509e-08,2.13159e-07,0.0383666,1.70899e-08,5.84546e-08,2.88115e-07,1,0.99999,0.89422,0.127058,0.458171,4.28575
44000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.31169e-08,2.80217e-07,0.0385356,2.58328e-08,6.63983e-08,3.56057e-07,1,0.999984,0.846069,0.127688,0.46299,4.2698
44000,"optimizer.distributed.dp_group_idx_7.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.08847e-08,2.43676e-07,0.0385992,2.50212e-08,6.61784e-08,2.96306e-07,1,0.999988,0.850686,0.127789,0.463312,4.26165
44000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.68413e-08,1.1503e-07,0.0383817,8.20775e-09,4.87656e-08,2.07544e-07,1,0.999993,0.929624,0.123648,0.468071,4.24604
64000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,2.92559e-08,1.87598e-07,0.0419653,3.77185e-08,8.07612e-08,3.82839e-07,1,0.999993,0.727416,0.124206,0.465338,3.76867
64000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,3.90978e-08,3.0687e-07,0.0367726,9.47561e-09,4.95877e-08,4.85625e-07,1,0.999951,0.809996,0.0912593,0.398544,3.19268
64000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.60977e-08,1.08146e-07,0.0420365,9.46665e-09,5.03495e-08,2.25127e-07,1,0.999995,0.929757,0.118824,0.469032,3.72112
64000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,9.82345e-09,5.96516e-08,0.0418879,2.97245e-09,4.17066e-08,1.49491e-07,1,0.999999,0.973746,0.112309,0.43786,3.49022
64000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.41503e-08,2.23173e-07,0.0417347,1.97417e-08,6.14445e-08,3.10877e-07,1,0.999992,0.860028,0.121563,0.452357,3.75579
64000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.19373e-08,2.18629e-07,0.0419644,2.72698e-08,6.92389e-08,3.79251e-07,1,0.999986,0.807893,0.122094,0.458579,3.73299
64000,"optimizer.distributed.dp_group_idx_7.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.98871e-08,2.00047e-07,0.0419858,2.57787e-08,6.90706e-08,3.38353e-07,1,0.999988,0.810705,0.121946,0.457208,3.72253
64000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.61381e-08,1.06283e-07,0.0419452,8.21847e-09,4.98706e-08,2.21545e-07,1,0.999995,0.930178,0.119556,0.468912,3.75397
75126,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,6.70351e-08,3.00123e-07,0.0438029,6.69476e-08,1.58175e-07,5.97073e-07,1,0.999989,0.0521987,0.166798,0.552259,4.84058
75126,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,1.10789e-07,5.79208e-07,0.038796,2.19684e-08,8.43191e-08,5.45511e-07,1,0.999947,0.563735,0.160382,0.535929,5.31936
75126,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.24965e-08,1.10286e-07,0.0437341,1.12566e-08,6.57433e-08,2.33044e-07,1,0.999996,0.854015,0.140327,0.510678,4.21823
