iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
44000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,2.8352e-08,1.94733e-07,0.0384818,3.72502e-08,7.86601e-08,3.20094e-07,1,0.999992,0.775334,0.12988,0.469376,4.31322
44000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,3.50278e-08,2.12835e-07,0.0344017,1.01556e-08,4.25825e-08,3.40348e-07,1,0.999974,0.852827,0.106828,0.42045,3.98882
44000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.12986e-08,5.4633e-08,0.0387659,3.30596e-09,4.64897e-08,9.17973e-08,1,0.999999,0.992179,0.121891,0.452329,4.10996
44000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_1",187443456,2.80946e-08,1.84626e-07,0.0396797,3.76219e-08,7.80231e-08,2.76837e-07,1,0.99999,0.839153,0.13114,0.472974,4.21325
44000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_4",335544320,3.95786e-09,1.90364e-08,0.0277983,1.00517e-10,1.16945e-08,4.45987e-08,1,1,0.998847,0.0675096,0.330106,3.11772
44000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.055e-08,5.5826e-08,0.039066,5.24294e-09,4.18922e-08,7.96532e-08,1,0.999998,0.994478,0.122263,0.452613,4.0878
44000,"optimizer.distributed.dp_group_idx_10.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.01335e-08,4.61601e-08,0.0380716,1.83213e-09,4.30794e-08,6.71135e-08,1,0.999999,0.99772,0.119614,0.449858,4.08599
44000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.37079e-08,2.43778e-07,0.0387514,1.83807e-08,6.46373e-08,2.25108e-07,1,0.999994,0.909574,0.129784,0.466326,4.3026
44000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.70998e-08,1.19625e-07,0.0385818,9.39682e-09,4.95055e-08,2.14547e-07,1,0.999993,0.926595,0.123498,0.4674,4.21446
44000,"optimizer.distributed.dp_group_idx_12.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.0169e-08,4.86966e-08,0.0387221,2.27487e-09,4.22164e-08,7.00195e-08,1,0.999998,0.996885,0.121001,0.449998,4.07174
44000,"optimizer.distributed.dp_group_idx_13.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.28937e-08,6.83383e-08,0.0388773,6.11979e-09,4.89492e-08,1.44494e-07,1,0.999997,0.974392,0.123889,0.454026,4.15023
44000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.27715e-08,2.74236e-07,0.0384498,1.54891e-08,6.27932e-08,2.1783e-07,1,0.999991,0.915628,0.127489,0.461185,4.26865
44000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",701271808,6.7247e-07,3.14066e-06,0.0270855,2.01476e-09,7.14697e-08,3.83518e-06,1,0.998363,0.593024,0.0766684,0.424196,4.33529
44000,"optimizer.distributed.dp_group_idx_15.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.00781e-08,4.74723e-08,0.0386211,2.19584e-09,4.21457e-08,6.80516e-08,1,0.999999,0.997293,0.120632,0.449448,4.07487
44000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_1",187443456,2.87446e-08,1.88617e-07,0.0397376,3.0941e-08,7.79614e-08,2.62144e-07,1,0.999993,0.84571,0.131342,0.473362,4.20981
44000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_4",335544320,3.50643e-09,3.93521e-08,0.0259781,3.64605e-12,9.55299e-09,3.78899e-08,1,0.999997,0.999219,0.0584039,0.310221,2.89306
44000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.03364e-08,5.15777e-08,0.0387791,4.12115e-09,4.17075e-08,7.44856e-08,1,0.999998,0.995279,0.121791,0.452968,4.10827
44000,"optimizer.distributed.dp_group_idx_3.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_2",135020032,4.21582e-08,2.71936e-07,0.0389794,1.48585e-08,6.64258e-08,3.34655e-07,1,0.999951,0.748329,0.125689,0.462646,4.1787
44000,"optimizer.distributed.dp_group_idx_3.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.18961e-08,2.03448e-07,0.0379153,1.37679e-08,5.71271e-08,2.04776e-07,1,0.999993,0.931036,0.125146,0.454347,4.27413
44000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.31169e-08,2.80217e-07,0.0385356,2.57437e-08,6.63608e-08,3.56582e-07,1,0.999984,0.846069,0.127764,0.462117,4.27233
