iter,layer,h_in_rms,attn_rms,attn_ratio,attn_cos,h_mid_rms,mlp_rms,mlp_ratio,mlp_cos,h_out_rms,attn_gain_rms,mlp_gain_rms
64000,0,0.0418679,5.24442,125.261,0.00941487,5.24496,3.01729,0.575274,0.842626,7.95467,0.0567819,0.494554
64000,1,7.95467,0.808771,0.101673,0.732763,8.56505,3.77457,0.440694,0.481849,10.8967,0.340509,0.858915
64000,2,10.8967,0.735889,0.0675331,0.493841,11.2786,1.16354,0.103163,0.543965,11.9522,0.564065,0.878082
64000,3,11.9522,0.828218,0.0692944,0.244206,12.1831,1.44043,0.118232,0.464476,12.9146,0.696935,0.863455
64000,4,12.9146,0.917904,0.0710748,0.307794,13.2246,1.63196,0.123404,0.419406,13.9862,0.723899,0.839638
64000,5,13.9862,1.10278,0.0788479,0.166054,14.2101,2.41725,0.170108,0.551667,15.6713,0.831271,0.758825
64000,6,15.6713,1.32248,0.0843887,-0.0207684,15.6983,1.82514,0.116264,0.308622,16.3557,0.902918,0.700393
64000,7,16.3557,1.42242,0.0869677,0.106935,16.5693,2.2036,0.132993,0.365631,17.4958,1.08434,0.667814
64000,8,17.4958,1.5375,0.0878784,0.106225,17.7275,2.56384,0.144625,0.343488,18.7635,1.02212,0.668806
64000,9,18.7635,1.45035,0.0772965,0.18578,19.0881,3.00355,0.157352,0.341254,20.3077,0.957721,0.669473
64000,10,20.3077,1.66676,0.0820753,0.130312,20.5936,3.0694,0.149046,0.336597,21.8197,0.970829,0.651624
64000,11,21.8197,1.7617,0.080739,0.15172,22.1571,3.19866,0.144363,0.282909,23.263,1.0379,0.642713
64000,12,23.263,1.78958,0.0769283,0.185113,23.66,3.35312,0.141721,0.224939,24.631,0.981557,0.640859
64000,13,24.631,1.67442,0.0679805,0.186955,24.9998,3.5082,0.140329,0.193645,25.9077,1.03164,0.635428
64000,14,25.9077,2.02809,0.0782815,0.206503,26.4,3.70138,0.140204,0.147358,27.1928,1.00041,0.617287
64000,15,27.1928,2.28259,0.0839408,0.134673,27.5928,3.93087,0.14246,0.0872536,28.2089,1.118,0.606905
64000,16,28.2089,2.8985,0.102751,0.182648,28.8786,4.40554,0.152554,0.0971593,29.6322,1.13706,0.582269
64000,17,29.6322,4.07186,0.137413,0.0964731,30.2989,5.12988,0.169309,0.0892459,31.1775,1.25965,0.560089
64000,18,31.1775,3.22363,0.103396,0.138079,31.7828,5.6292,0.177115,0.10739,32.866,1.22634,0.550712
64000,19,32.866,4.91489,0.149543,0.169651,34.0478,6.36854,0.187047,0.125509,35.4151,1.33971,0.548914
64000,20,35.4151,4.25611,0.120178,0.154085,36.3159,7.46408,0.205532,0.121628,37.9535,1.21511,0.557269
