from,to,norm_dW,rel_dW,cos_with_prev,n_params
0064000,0064500,518.146929,0.06952861,,33892683776
0064500,0065000,507.444430,0.06817199,-0.018183,33892683776
0065000,0065500,503.471493,0.06771595,-0.031280,33892683776
0065500,0066000,502.182267,0.06761924,-0.037094,33892683776
0066000,0066500,503.260725,0.06783866,-0.040354,33892683776
0066500,0067000,502.235000,0.06776723,-0.042741,33892683776
0067000,0067500,502.221590,0.06783587,-0.044697,33892683776
0067500,0068000,500.579881,0.06767913,-0.046714,33892683776
0068000,0068500,502.198827,0.06796797,-0.046840,33892683776
0068500,0069000,502.203438,0.06803691,-0.048309,33892683776
0069000,0069500,502.492379,0.06814224,-0.048895,33892683776
0069500,0070000,503.554847,0.06835164,-0.048690,33892683776
