iter,z
5,1.822637E+02
10,1.822633E+02
15,1.827339E+02
20,2.186493E+02
25,2.097750E+02
30,2.052753E+02
35,1.981353E+02
40,1.980388E+02
45,1.993432E+02
50,2.002834E+02
55,1.997330E+02
60,2.018348E+02
65,2.026007E+02
70,2.030858E+02
75,2.038632E+02
80,2.029216E+02
85,2.033119E+02
90,2.037448E+02
95,2.031245E+02
100,2.022989E+02
105,2.029514E+02
110,2.028808E+02
115,2.025045E+02
120,2.018656E+02
125,2.018834E+02
130,2.024017E+02
135,2.003297E+02
140,1.999929E+02
145,1.999208E+02
150,1.996132E+02
155,1.997455E+02
160,1.989879E+02
165,1.982052E+02
170,1.977060E+02
175,1.970197E+02
180,1.952054E+02
185,1.953381E+02
190,1.956203E+02
195,1.945421E+02
200,1.942775E+02
205,1.950230E+02
210,1.928583E+02
215,1.923784E+02
220,1.929593E+02
225,1.913216E+02
230,1.924557E+02
235,1.925478E+02
240,1.916930E+02
245,1.925099E+02
250,1.911091E+02
255,1.925754E+02
260,1.909873E+02
265,1.909316E+02
270,1.924180E+02
275,1.911168E+02
280,1.908371E+02
285,1.908963E+02
290,1.911553E+02
295,1.917185E+02
300,1.913608E+02
305,1.908990E+02
310,1.914641E+02
315,1.911736E+02
320,1.916989E+02
325,1.918731E+02
330,1.921284E+02
335,1.907248E+02
340,1.916079E+02
345,1.916161E+02
350,1.928522E+02
355,1.924223E+02
360,1.934052E+02
365,1.931509E+02
370,1.923409E+02
375,1.937360E+02
380,1.944923E+02
385,1.943126E+02
390,1.939428E+02
395,1.948285E+02
400,1.952761E+02
405,1.952840E+02
410,1.958868E+02
415,1.950245E+02
420,1.930742E+02
425,1.940081E+02
430,1.954957E+02
435,1.961361E+02
440,1.954067E+02
445,1.968959E+02
450,1.970399E+02
455,1.965258E+02
460,1.977690E+02
465,1.971483E+02
470,1.970312E+02
475,1.972957E+02
480,1.974388E+02
485,1.975506E+02
490,1.981089E+02
495,1.975516E+02
500,1.983450E+02
505,1.982082E+02
510,1.991888E+02
515,1.997795E+02
520,1.994907E+02
525,1.986647E+02
530,1.994941E+02
535,2.004087E+02
540,1.994792E+02
545,2.003567E+02
550,2.002438E+02
555,1.999427E+02
560,2.003283E+02
565,2.002327E+02
570,2.003701E+02
575,2.003091E+02
580,2.010424E+02
585,2.012618E+02
590,2.008049E+02
595,2.012669E+02
600,2.019518E+02
605,2.014212E+02
610,2.023917E+02
615,2.025862E+02
620,2.023185E+02
625,2.032185E+02
630,2.031538E+02
635,2.025465E+02
640,2.029598E+02
645,2.032160E+02
650,2.033409E+02
655,2.047132E+02
660,2.039630E+02
665,2.035788E+02
670,2.040760E+02
675,2.040552E+02
680,2.037753E+02
685,2.043669E+02
690,2.051921E+02
695,2.044813E+02
700,2.041432E+02
705,2.049922E+02
710,2.049061E+02
715,2.055859E+02
720,2.052907E+02
725,2.053083E+02
730,2.054943E+02
735,2.055886E+02
740,2.059431E+02
745,2.053877E+02
750,2.061354E+02
755,2.064223E+02
760,2.053335E+02
765,2.067475E+02
770,2.069078E+02
775,2.070068E+02
780,2.077879E+02
785,2.070752E+02
790,2.077918E+02
795,2.071987E+02
800,2.081087E+02
805,2.075405E+02
810,2.082795E+02
815,2.082463E+02
820,2.080219E+02
825,2.091192E+02
830,2.089610E+02
835,2.098210E+02
840,2.100050E+02
845,2.096665E+02
850,2.096024E+02
855,2.092232E+02
860,2.092401E+02
865,2.103829E+02
870,2.099855E+02
875,2.107542E+02
880,2.109344E+02
885,2.107158E+02
890,2.105708E+02
895,2.110697E+02
900,2.109865E+02
905,2.108797E+02
910,2.111049E+02
915,2.106330E+02
920,2.114698E+02
925,2.116631E+02
930,2.107221E+02
935,2.123808E+02
940,2.116634E+02
945,2.120755E+02
950,2.120181E+02
955,2.118042E+02
960,2.114954E+02
965,2.117009E+02
970,2.120637E+02
975,2.118131E+02
980,2.124980E+02
985,2.127992E+02
990,2.122689E+02
995,2.120837E+02
1000,2.119329E+02
1005,2.125794E+02
1010,2.118936E+02
1015,2.128133E+02
1020,2.129923E+02
1025,2.128603E+02
1030,2.128790E+02
1035,2.128304E+02
1040,2.130994E+02
1045,2.127955E+02
1050,2.125627E+02
1055,2.134963E+02
1060,2.128593E+02
1065,2.127459E+02
1070,2.129906E+02
1075,2.128458E+02
1080,2.134134E+02
1085,2.128993E+02
1090,2.128239E+02
1095,2.135562E+02
1100,2.129874E+02
1105,2.129054E+02
1110,2.125517E+02
1115,2.131339E+02
1120,2.129444E+02
1125,2.136989E+02
1130,2.131287E+02
1135,2.134427E+02
1140,2.126352E+02
1145,2.127279E+02
1150,2.135435E+02
1155,2.126387E+02
1160,2.133374E+02
1165,2.134736E+02
1170,2.129967E+02
1175,2.127986E+02
1180,2.129247E+02
1185,2.128748E+02
1190,2.130749E+02
1195,2.126257E+02
