layer,shard,amax_act,amax_wgt,amax_act_last,scale_act,scale_fwd_med,iter
self_attention.linear_proj,0,10.25,0.0203857,0,43.7073,43.7073,4000
self_attention.linear_qkv,0,6.20447,0.111816,0,72.206,72.206,4000
mlp.linear_fc1,0,9.63296,0.120605,0,46.507,46.507,4000
mlp.linear_fc2,0,2608,0.0197754,0,0.171779,1,4000
self_attention.linear_proj,1,16.75,0.0189209,0,26.7463,26.7463,4000
self_attention.linear_qkv,1,7.43797,0.117676,0,60.2315,60.2315,4000
mlp.linear_fc1,1,7.42016,0.119141,0,60.3761,60.3761,4000
mlp.linear_fc2,1,382,0.0203857,0,1.17277,1.17277,4000
self_attention.linear_proj,2,20.875,0.0216064,0,21.4611,21.4611,4000
self_attention.linear_qkv,2,7.3853,0.118652,0,60.661,60.661,4000
mlp.linear_fc1,2,7.10101,0.117676,0,63.0896,63.0896,4000
mlp.linear_fc2,2,736,0.0212402,0,0.608696,1,4000
self_attention.linear_proj,3,24.75,0.0256348,0,18.101,18.101,4000
self_attention.linear_qkv,3,7.16987,0.112305,0,62.4837,62.4837,4000
mlp.linear_fc1,3,7.28039,0.119141,0,61.5351,61.5351,4000
mlp.linear_fc2,3,512,0.0211182,0,0.875,1,4000
self_attention.linear_proj,4,19,0.0246582,0,23.5789,23.5789,4000
self_attention.linear_qkv,4,7.40072,0.123535,0,60.5346,60.5346,4000
mlp.linear_fc1,4,7.16872,0.119629,0,62.4937,62.4937,4000
mlp.linear_fc2,4,225,0.0222168,0,1.99111,1.99111,4000
self_attention.linear_proj,17,8.3125,0.0213623,0,53.8947,53.8947,4000
self_attention.linear_qkv,17,7.15945,0.114746,0,62.5746,62.5746,4000
mlp.linear_fc1,17,7.19045,0.119629,0,62.3049,62.3049,4000
mlp.linear_fc2,17,146,0.0235596,0,3.06849,3.06849,4000
self_attention.linear_proj,18,6.875,0.0200195,0,65.1636,65.1636,4000
self_attention.linear_qkv,18,7.32132,0.116211,0,61.1912,61.1912,4000
mlp.linear_fc1,18,7.42632,0.117188,0,60.326,60.326,4000
mlp.linear_fc2,18,101,0.0238037,0,4.43564,4.43564,4000
self_attention.linear_proj,19,11.875,0.0213623,0,37.7263,37.7263,4000
self_attention.linear_qkv,19,7.31313,0.110352,0,61.2597,61.2597,4000
mlp.linear_fc1,19,7.45563,0.12793,0,60.0888,60.0888,4000
mlp.linear_fc2,19,89.5,0.0233154,0,5.00559,5.00559,4000
self_attention.linear_proj,20,8.0625,0.0201416,0,55.5659,55.5659,4000
self_attention.linear_qkv,20,7.17707,0.115723,0,62.421,62.421,4000
mlp.linear_fc1,20,7.32018,0.123047,0,61.2007,61.2007,4000
mlp.linear_fc2,20,98,0.0233154,0,4.57143,4.57143,4000
self_attention.linear_proj,33,7.8125,0.0216064,0,57.344,57.344,4000
self_attention.linear_qkv,33,7.11045,0.11377,0,63.0059,63.0059,4000
mlp.linear_fc1,33,7.51048,0.117188,0,59.65,59.65,4000
mlp.linear_fc2,33,113.5,0.0246582,0,3.94714,3.94714,4000
self_attention.linear_proj,34,10.625,0.020752,0,42.1647,42.1647,4000
self_attention.linear_qkv,34,7.37605,0.11377,0,60.7371,60.7371,4000
mlp.linear_fc1,34,7.65844,0.120117,0,58.4975,58.4975,4000
mlp.linear_fc2,34,113,0.0235596,0,3.9646,3.9646,4000
self_attention.linear_proj,35,7.96875,0.0200195,0,56.2196,56.2196,4000
self_attention.linear_qkv,35,7.47432,0.108887,0,59.9386,59.9386,4000
mlp.linear_fc1,35,7.81809,0.120605,0,57.303,57.303,4000
mlp.linear_fc2,35,115.5,0.0239258,0,3.87879,3.87879,4000
self_attention.linear_proj,36,7.15625,0.0203857,0,62.6026,62.6026,4000
self_attention.linear_qkv,36,7.39849,0.110352,0,60.5529,60.5529,4000
mlp.linear_fc1,36,7.74489,0.122559,0,57.8446,57.8446,4000
mlp.linear_fc2,36,412,0.0239258,0,1.08738,1.08738,4000
self_attention.linear_proj,49,19.5,0.0251465,0,22.9744,22.9744,4000
self_attention.linear_qkv,49,9.38628,0.110352,0,47.7293,47.7293,4000
mlp.linear_fc1,49,9.67532,0.121582,0,46.3034,46.3034,4000
mlp.linear_fc2,49,280,0.0245361,0,1.6,1.6,4000
self_attention.linear_proj,50,15.1875,0.0216064,0,29.4979,29.4979,4000
self_attention.linear_qkv,50,9.66293,0.112793,0,46.3628,46.3628,4000
mlp.linear_fc1,50,10.0788,0.123535,0,44.4498,44.4498,4000
mlp.linear_fc2,50,604,0.024292,0,0.741722,1,4000
self_attention.linear_proj,51,9.8125,0.0212402,0,45.6561,45.6561,4000
self_attention.linear_qkv,51,10.1212,0.113281,0,44.2636,44.2636,4000
mlp.linear_fc1,51,10.4491,0.125,0,42.8746,42.8746,4000
mlp.linear_fc2,51,432,0.0249023,0,1.03704,1.03704,4000
self_attention.linear_proj,52,8.0625,0.0209961,0,55.5659,55.5659,4000
self_attention.linear_qkv,52,10.5073,0.114258,0,42.6369,42.6369,4000
mlp.linear_fc1,52,10.8497,0.119629,0,41.2915,41.2915,4000
mlp.linear_fc2,52,356,0.026001,0,1.25843,1.25843,4000
self_attention.linear_proj,5,20.75,0.0267334,0,21.5904,21.5904,4000
self_attention.linear_qkv,5,7.67441,0.111816,0,58.3759,58.3759,4000
mlp.linear_fc1,5,7.00898,0.118164,0,63.918,63.918,4000
mlp.linear_fc2,5,153,0.0223389,0,2.9281,2.9281,4000
self_attention.linear_proj,6,20.75,0.0273438,0,21.5904,21.5904,4000
self_attention.linear_qkv,6,7.42249,0.11377,0,60.3571,60.3571,4000
mlp.linear_fc1,6,7.13217,0.120117,0,62.814,62.814,4000
mlp.linear_fc2,6,346,0.0222168,0,1.2948,1.2948,4000
self_attention.linear_proj,7,27.75,0.0334473,0,16.1441,16.1441,4000
self_attention.linear_qkv,7,7.36505,0.112305,0,60.8278,60.8278,4000
mlp.linear_fc1,7,7.35525,0.117188,0,60.9089,60.9089,4000
mlp.linear_fc2,7,120.5,0.0227051,0,3.71784,3.71784,4000
self_attention.linear_proj,8,13.25,0.0219727,0,33.8113,33.8113,4000
self_attention.linear_qkv,8,7.48572,0.115234,0,59.8473,59.8473,4000
mlp.linear_fc1,8,7.39316,0.119629,0,60.5966,60.5966,4000
mlp.linear_fc2,8,107.5,0.0216064,0,4.16744,4.16744,4000
self_attention.linear_proj,21,9.4375,0.0213623,0,47.4702,47.4702,4000
self_attention.linear_qkv,21,7.1504,0.115723,0,62.6538,62.6538,4000
mlp.linear_fc1,21,7.34563,0.125977,0,60.9887,60.9887,4000
mlp.linear_fc2,21,117.5,0.0231934,0,3.81277,3.81277,4000
self_attention.linear_proj,22,13.875,0.022583,0,32.2883,32.2883,4000
self_attention.linear_qkv,22,7.23315,0.114258,0,61.937,61.937,4000
mlp.linear_fc1,22,7.34415,0.125977,0,61.0009,61.0009,4000
mlp.linear_fc2,22,73.5,0.0233154,0,6.09524,6.09524,4000
self_attention.linear_proj,23,11.6875,0.0217285,0,38.3316,38.3316,4000
self_attention.linear_qkv,23,7.10124,0.109863,0,63.0876,63.0876,4000
mlp.linear_fc1,23,7.29628,0.125,0,61.4012,61.4012,4000
mlp.linear_fc2,23,107,0.0250244,0,4.18692,4.18692,4000
self_attention.linear_proj,24,17.875,0.026123,0,25.0629,25.0629,4000
self_attention.linear_qkv,24,7.47287,0.115234,0,59.9502,59.9502,4000
mlp.linear_fc1,24,7.61315,0.124512,0,58.8456,58.8456,4000
mlp.linear_fc2,24,98,0.0239258,0,4.57143,4.57143,4000
self_attention.linear_proj,37,7.15625,0.0218506,0,62.6026,62.6026,4000
self_attention.linear_qkv,37,7.50728,0.110352,0,59.6754,59.6754,4000
mlp.linear_fc1,37,7.82467,0.121094,0,57.2548,57.2548,4000
mlp.linear_fc2,37,181,0.0238037,0,2.47514,2.47514,4000
self_attention.linear_proj,38,7.125,0.0218506,0,62.8772,62.8772,4000
self_attention.linear_qkv,38,7.30394,0.111328,0,61.3367,61.3367,4000
mlp.linear_fc1,38,7.67122,0.123047,0,58.4001,58.4001,4000
mlp.linear_fc2,38,120,0.0249023,0,3.73333,3.73333,4000
self_attention.linear_proj,39,7,0.0209961,0,64,64,4000
self_attention.linear_qkv,39,7.33372,0.11377,0,61.0876,61.0876,4000
mlp.linear_fc1,39,7.76621,0.125977,0,57.6858,57.6858,4000
mlp.linear_fc2,39,237,0.024292,0,1.8903,1.8903,4000
self_attention.linear_proj,40,6.8125,0.0205078,0,65.7615,65.7615,4000
self_attention.linear_qkv,40,7.32442,0.113281,0,61.1653,61.1653,4000
mlp.linear_fc1,40,7.75589,0.121582,0,57.7626,57.7626,4000
mlp.linear_fc2,40,572,0.0252686,0,0.783217,1,4000
self_attention.linear_proj,53,14.8125,0.0223389,0,30.2447,30.2447,4000
self_attention.linear_qkv,53,11.0608,0.118652,0,40.5035,40.5035,4000
mlp.linear_fc1,53,11.229,0.131836,0,39.8966,39.8966,4000
mlp.linear_fc2,53,113.5,0.026001,0,3.94714,3.94714,4000
self_attention.linear_proj,54,13.5,0.0211182,0,33.1852,33.1852,4000
self_attention.linear_qkv,54,11.4894,0.114746,0,38.9925,38.9925,4000
mlp.linear_fc1,54,11.5832,0.121582,0,38.6768,38.6768,4000
mlp.linear_fc2,54,89.5,0.0255127,0,5.00559,5.00559,4000
self_attention.linear_proj,55,24.25,0.0246582,0,18.4742,18.4742,4000
self_attention.linear_qkv,55,12.1165,0.121094,0,36.9745,36.9745,4000
mlp.linear_fc1,55,12.2519,0.118164,0,36.5657,36.5657,4000
mlp.linear_fc2,55,133,0.0247803,0,3.36842,3.36842,4000
