iter,lm_loss,grad_norm
63126,1.531436,0.427
63130,1.535134,0.417
63135,1.543598,0.461
63140,1.539901,0.379
63145,1.54601,0.444
63150,1.541863,0.4
63155,1.538102,0.416
63160,1.540384,0.423
63165,1.54522,0.427
63170,1.543063,0.449
63175,1.538813,0.457
63180,1.537117,0.428
63185,1.546254,0.424
63190,1.547995,0.416
63195,1.536609,0.426
63200,1.542177,0.419
63205,1.534231,0.429
63210,1.533955,0.419
63215,1.537863,0.392
63220,1.542647,0.416
63225,1.540674,0.435
63230,1.539797,0.378
63235,1.540011,0.503
63240,1.542084,0.398
63245,1.52665,0.454
63250,1.539918,0.469
63255,1.544478,0.536
63260,1.552642,0.469
63265,1.548789,0.45
63270,1.540162,0.409
63275,1.534783,0.413
63280,1.540685,0.517
63285,1.546765,0.492
63290,1.545585,0.481
63295,1.536725,0.46
63300,1.547093,0.678
63305,1.550441,0.409
63310,1.542916,0.464
63315,1.546866,0.399
63320,1.546526,0.422
63325,1.532956,0.43
63330,1.538649,0.377
63335,1.543206,0.431
63340,1.53898,0.503
63345,1.546944,0.432
63350,1.544318,0.371
63355,1.544617,0.563
63360,1.540781,0.405
63365,1.537003,0.452
63370,1.5408,0.42
63375,1.546303,0.424
63380,1.534111,0.407
63385,1.548442,0.489
63390,1.545814,0.487
63395,1.53444,0.413
63400,1.538288,0.394
63405,1.545919,0.403
63410,1.54388,0.409
63415,1.53597,0.402
63420,1.551021,0.428
63425,1.541652,0.474
63430,1.538993,0.388
63435,1.549818,0.383
63440,1.540901,0.46
63445,1.542316,0.534
63450,1.537625,0.47
63455,1.546546,0.479
63460,1.543803,0.466
63465,1.54196,0.442
63470,1.546536,0.406
63475,1.546068,0.404
63480,1.53737,0.391
63485,1.542602,0.44
63490,1.540205,0.449
63495,1.544113,0.387
63500,1.540403,0.444
63505,1.541856,0.371
63510,1.547976,0.436
63515,1.546462,0.426
63520,1.53571,0.389
63525,1.539253,0.485
63530,1.541797,0.447
63535,1.539104,0.387
63540,1.541162,0.471
63545,1.542615,0.434
63550,1.547562,0.442
63555,1.54271,0.464
63560,1.532325,0.664
63565,1.547188,0.457
63570,1.543929,0.454
63575,1.539825,0.464
63580,1.540987,0.388
63585,1.533659,0.454
63590,1.535935,0.445
63595,1.543584,0.455
63600,1.535017,0.46
63605,1.544265,0.392
63610,1.541715,0.439
63615,1.537521,0.476
63620,1.533771,0.462
63625,1.538328,0.385
63630,1.537732,0.399
63635,1.537589,0.39
63640,1.53398,0.511
63645,1.543758,0.667
63650,1.533703,0.4
63655,1.535015,0.419
63660,1.542984,0.417
63665,1.543893,0.415
63670,1.535301,0.48
63675,1.550766,0.411
