iter,tensor,layer,mean,rms,max,min
8000,linear_qkv,0,0.946316,0.94643,1,0.902344
8000,linear_qkv,1,0.938571,0.938656,0.988281,0.902344
8000,linear_qkv,2,0.985354,0.985406,1.02344,0.945312
8000,linear_qkv,3,1.01214,1.01222,1.05469,0.960938
8000,linear_qkv,4,1.0034,1.00346,1.03906,0.960938
8000,linear_qkv,5,1.03185,1.03194,1.07812,0.988281
8000,linear_qkv,6,1.05147,1.05163,1.11719,0.996094
8000,linear_qkv,7,1.06278,1.06292,1.125,1
8000,linear_qkv,8,1.01957,1.01965,1.07812,0.980469
8000,linear_qkv,9,0.969005,0.969042,1,0.925781
8000,linear_qkv,10,0.987334,0.98738,1.02344,0.953125
8000,linear_qkv,11,0.971535,0.971577,1.00781,0.929688
8000,linear_qkv,12,0.963374,0.963419,0.996094,0.933594
8000,linear_qkv,13,0.962394,0.962439,1,0.929688
8000,linear_qkv,14,0.947282,0.947334,0.980469,0.898438
8000,linear_qkv,15,0.966573,0.966617,0.996094,0.933594
8000,linear_qkv,16,0.956005,0.956051,0.988281,0.921875
8000,linear_qkv,17,1.0209,1.02098,1.07031,0.976562
8000,linear_qkv,18,0.967811,0.967854,1,0.933594
8000,linear_qkv,19,1.01333,1.01341,1.0625,0.972656
8000,linear_qkv,20,0.966303,0.966346,1,0.933594
8000,linear_qkv,21,0.981137,0.98119,1.01562,0.941406
8000,linear_qkv,22,1.03747,1.03758,1.11719,0.988281
8000,linear_qkv,23,1.02845,1.02854,1.07812,0.988281
8000,linear_qkv,24,1.02048,1.02057,1.07812,0.980469
8000,linear_qkv,25,1.00095,1.00101,1.04688,0.960938
8000,linear_qkv,26,0.978017,0.978066,1.01562,0.945312
8000,linear_qkv,27,1.03603,1.03612,1.08594,0.992188
8000,linear_qkv,28,0.984736,0.984786,1.02344,0.949219
8000,linear_qkv,29,1.00066,1.00072,1.03906,0.960938
8000,linear_qkv,30,1.00666,1.00673,1.05469,0.96875
8000,linear_qkv,31,0.961598,0.961644,0.996094,0.921875
8000,linear_qkv,32,0.972231,0.972282,1.00781,0.933594
8000,linear_qkv,33,0.965549,0.965598,0.996094,0.929688
8000,linear_qkv,34,0.98172,0.981772,1.02344,0.941406
8000,linear_qkv,35,0.967429,0.967479,1,0.929688
8000,linear_qkv,36,0.956859,0.956908,0.988281,0.914062
8000,linear_qkv,37,0.945912,0.945962,0.980469,0.90625
8000,linear_qkv,38,0.962395,0.962447,0.996094,0.925781
8000,linear_qkv,39,0.945708,0.945757,0.980469,0.910156
8000,linear_qkv,40,0.951158,0.951207,0.984375,0.917969
8000,linear_qkv,41,0.947218,0.947265,0.980469,0.914062
8000,linear_qkv,42,0.946465,0.946515,0.980469,0.914062
8000,linear_qkv,43,0.947961,0.948011,0.988281,0.914062
8000,linear_qkv,44,0.949242,0.949292,0.984375,0.914062
8000,linear_qkv,45,0.968836,0.968887,1.00781,0.929688
8000,linear_qkv,46,0.977191,0.97725,1.01562,0.9375
8000,linear_qkv,47,0.962422,0.962473,0.996094,0.929688
8000,linear_qkv,48,0.997955,0.998016,1.03906,0.953125
8000,linear_qkv,49,1.00656,1.00664,1.05469,0.953125
8000,linear_qkv,50,0.967915,0.967968,1.00781,0.929688
8000,linear_qkv,51,0.97493,0.974976,1.00781,0.9375
8000,linear_qkv,52,0.96565,0.965696,1,0.929688
8000,linear_qkv,53,1.00046,1.00054,1.04688,0.941406
8000,linear_qkv,54,0.9849,0.984952,1.02344,0.9375
8000,linear_qkv,55,1.01083,1.01091,1.05469,0.945312
8000,linear_qkv,56,0.988916,0.988966,1.02344,0.933594
8000,linear_qkv,57,1.01002,1.01013,1.07031,0.933594
8000,linear_qkv,58,1.00793,1.00801,1.05469,0.945312
8000,linear_qkv,59,1.01042,1.01051,1.05469,0.949219
8000,linear_qkv,60,0.986976,0.987019,1.01562,0.933594
