run,iteration,norm_family,tensor,layer,numel,gain_rms,gain_abs_max,baseline_iteration,gain_rms_ratio_to_baseline,finite_frac,zero_frac,sample_relative_delta_rms,sample_cosine,sample_sign_flip_frac
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,0,5120,0.986870231,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,1,5120,0.990053891,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,2,5120,1.00100116,1.015625,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,3,5120,1.00581596,1.0234375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,4,5120,1.00003275,1.015625,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,5,5120,1.00404281,1.015625,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,6,5120,1.00592818,1.03125,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,7,5120,1.0118958,1.0390625,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,8,5120,0.990461326,1,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,9,5120,0.985668013,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,10,5120,0.984494617,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,11,5120,0.984101489,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,12,5120,0.984135046,0.99609375,4000,1,1,0,0,1,0
flagship,4000,attention_input_norm,decoder.layers.self_attention.linear_qkv.layer_norm_weight,13,5120,0.983968771,0.99609375,4000,1,1,0,0,1,0
