iter,run,tensor,layer,wmax,wrms
64000,cont4b,self_attention.linear_qkv,0,0.349609,0.0366695
64000,cont4b,self_attention.linear_qkv,1,0.546875,0.0371863
64000,cont4b,self_attention.linear_qkv,2,0.734375,0.0401232
64000,cont4b,self_attention.linear_qkv,3,0.753906,0.0412037
64000,cont4b,self_attention.linear_qkv,4,0.597656,0.0402499
64000,cont4b,self_attention.linear_qkv,5,0.796875,0.0404003
64000,cont4b,self_attention.linear_qkv,6,0.503906,0.0416373
64000,cont4b,self_attention.linear_qkv,7,0.519531,0.0408894
64000,cont4b,self_attention.linear_qkv,8,0.582031,0.0407074
64000,cont4b,self_attention.linear_qkv,9,0.578125,0.0395339
64000,cont4b,self_attention.linear_qkv,10,0.453125,0.039054
64000,cont4b,self_attention.linear_qkv,11,0.496094,0.0392302
64000,cont4b,self_attention.linear_qkv,12,0.535156,0.038412
64000,cont4b,self_attention.linear_qkv,13,0.498047,0.0379605
64000,cont4b,self_attention.linear_qkv,14,0.570312,0.0367949
64000,cont4b,self_attention.linear_qkv,15,0.492188,0.0377283
64000,cont4b,self_attention.linear_qkv,16,0.519531,0.0380411
64000,cont4b,self_attention.linear_qkv,17,0.439453,0.0389359
64000,cont4b,self_attention.linear_qkv,18,0.390625,0.0391036
64000,cont4b,self_attention.linear_qkv,19,0.554688,0.0400602
64000,cont4b,self_attention.linear_qkv,20,0.40625,0.0384455
64000,cont4b,self_attention.linear_qkv,21,0.40625,0.0377094
64000,cont4b,self_attention.linear_qkv,22,0.494141,0.0408986
64000,cont4b,self_attention.linear_qkv,23,0.542969,0.0393722
64000,cont4b,self_attention.linear_qkv,24,0.511719,0.038203
64000,cont4b,self_attention.linear_qkv,25,0.441406,0.0363687
64000,cont4b,self_attention.linear_qkv,26,0.443359,0.0359016
64000,cont4b,self_attention.linear_qkv,27,0.433594,0.0391544
64000,cont4b,self_attention.linear_qkv,28,0.554688,0.0352678
64000,cont4b,self_attention.linear_qkv,29,0.535156,0.0360858
64000,cont4b,self_attention.linear_qkv,30,0.423828,0.0368849
64000,cont4b,self_attention.linear_qkv,31,0.492188,0.033005
64000,cont4b,self_attention.linear_qkv,32,0.478516,0.0343025
64000,cont4b,self_attention.linear_qkv,33,0.5,0.0329686
64000,cont4b,self_attention.linear_qkv,34,0.408203,0.0355788
64000,cont4b,self_attention.linear_qkv,35,0.453125,0.033987
64000,cont4b,self_attention.linear_qkv,36,0.392578,0.0312047
64000,cont4b,self_attention.linear_qkv,37,0.291016,0.0277224
64000,cont4b,self_attention.linear_qkv,38,0.324219,0.0313932
64000,cont4b,self_attention.linear_qkv,39,0.320312,0.0287868
64000,cont4b,self_attention.linear_qkv,40,0.320312,0.0288806
64000,cont4b,self_attention.linear_qkv,41,0.302734,0.028431
64000,cont4b,self_attention.linear_qkv,42,0.253906,0.0271763
64000,cont4b,self_attention.linear_qkv,43,0.249023,0.0278132
64000,cont4b,self_attention.linear_qkv,44,0.271484,0.0281458
64000,cont4b,self_attention.linear_qkv,45,0.292969,0.0299571
64000,cont4b,self_attention.linear_qkv,46,0.324219,0.0315916
64000,cont4b,self_attention.linear_qkv,47,0.3125,0.0293092
64000,cont4b,self_attention.linear_qkv,48,0.427734,0.0336298
64000,cont4b,self_attention.linear_qkv,49,0.339844,0.0332778
64000,cont4b,self_attention.linear_qkv,50,0.455078,0.0314022
64000,cont4b,self_attention.linear_qkv,51,0.322266,0.0321662
64000,cont4b,self_attention.linear_qkv,52,0.367188,0.0323818
64000,cont4b,self_attention.linear_qkv,53,0.326172,0.0337064
64000,cont4b,self_attention.linear_qkv,54,0.296875,0.0327476
64000,cont4b,self_attention.linear_qkv,55,0.324219,0.0339221
64000,cont4b,self_attention.linear_qkv,56,0.53125,0.0334428
64000,cont4b,self_attention.linear_qkv,57,0.330078,0.033258
64000,cont4b,self_attention.linear_qkv,58,0.267578,0.032859
64000,cont4b,self_attention.linear_qkv,59,0.294922,0.0316071
64000,cont4b,self_attention.linear_qkv,60,0.353516,0.030624
64000,cont4b,self_attention.linear_qkv,61,0.291016,0.0285411
64000,cont4b,self_attention.linear_qkv,62,0.470703,0.0246978
64000,cont4b,self_attention.linear_qkv,63,0.240234,0.0209338
64000,cont4b,self_attention.linear_proj,0,2.125,0.0323532
64000,cont4b,self_attention.linear_proj,1,3.07812,0.038129
64000,cont4b,self_attention.linear_proj,2,3.28125,0.0392384
64000,cont4b,self_attention.linear_proj,3,3.57812,0.0389033
